Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,2.1171875,2.08203125,2.107421875,2.1015625,4201600.0,1.9120527505874634
2000-01-04,2.091796875,2.0234375,2.08984375,2.029296875,3363200.0,1.8463044166564941
2000-01-05,2.021484375,1.939453125,2.021484375,1.984375,3644800.0,1.8054327964782715
2000-01-06,1.9765625,1.923828125,1.9765625,1.9296875,1561600.0,1.7556768655776978
2000-01-07,1.94921875,1.89453125,1.9375,1.94921875,3622400.0,1.7734465599060059
2000-01-10,2.046875,1.953125,1.953125,2.041015625,1526400.0,1.856966257095337
2000-01-11,2.09765625,2.041015625,2.046875,2.08984375,2483200.0,1.901390790939331
2000-01-12,2.4375,2.1171875,2.1171875,2.37890625,26086400.0,2.1643872261047363
2000-01-13,2.431640625,2.3125,2.38671875,2.34765625,5529600.0,2.1359548568725586
2000-01-14,2.4375,2.34375,2.34375,2.396484375,2304000.0,2.180379867553711
2000-01-18,2.53125,2.44921875,2.462890625,2.4609375,5123200.0,2.2390217781066895
2000-01-19,2.5,2.39453125,2.453125,2.4375,3836800.0,2.2176966667175293
2000-01-20,2.52734375,2.421875,2.4765625,2.423828125,3126400.0,2.20525860786438
2000-01-21,2.4375,2.328125,2.423828125,2.330078125,2361600.0,2.1199615001678467
2000-01-24,2.4140625,2.28125,2.337890625,2.3125,3001600.0,2.103968620300293
2000-01-25,2.3125,2.22265625,2.3125,2.248046875,1625600.0,2.0453274250030518
2000-01-26,2.298828125,2.1875,2.248046875,2.28125,2688000.0,2.0755362510681152
2000-01-27,2.326171875,2.240234375,2.2890625,2.248046875,2201600.0,2.0453274250030518
2000-01-28,2.267578125,2.13671875,2.248046875,2.142578125,1104000.0,1.9493696689605713
2000-01-31,2.171875,2.087890625,2.142578125,2.12109375,2688000.0,1.9298226833343506
2000-02-01,2.130859375,2.08984375,2.12109375,2.107421875,1625600.0,1.917383074760437
2000-02-02,2.203125,2.107421875,2.107421875,2.15234375,1420800.0,1.9582551717758179
2000-02-03,2.177734375,2.154296875,2.171875,2.162109375,1449600.0,1.9671401977539062
2000-02-04,2.193359375,2.16796875,2.171875,2.193359375,924800.0,1.9955720901489258
2000-02-07,2.189453125,2.1484375,2.171875,2.158203125,812800.0,1.9635858535766602
2000-02-08,2.234375,2.1796875,2.1796875,2.1796875,2064000.0,1.9831316471099854
2000-02-09,2.181640625,2.109375,2.181640625,2.115234375,1164800.0,1.9244917631149292
2000-02-10,2.125,2.072265625,2.12109375,2.083984375,931200.0,1.8960593938827515
2000-02-11,2.10546875,2.046875,2.0859375,2.0703125,1376000.0,1.8836199045181274
2000-02-14,2.5625,2.060546875,2.0703125,2.560546875,24224000.0,2.3296477794647217
2000-02-15,2.5546875,2.30078125,2.5546875,2.34765625,8166400.0,2.1359548568725586
2000-02-16,2.44921875,2.349609375,2.349609375,2.4375,4921600.0,2.2176966667175293
2000-02-17,2.41796875,2.34765625,2.41015625,2.369140625,2028800.0,2.1555020809173584
2000-02-18,2.375,2.24609375,2.373046875,2.271484375,2131200.0,2.0666515827178955
2000-02-22,2.25,2.162109375,2.240234375,2.228515625,3017600.0,2.027557849884033
2000-02-23,2.2734375,2.140625,2.244140625,2.265625,2908800.0,2.0613207817077637
2000-02-24,2.3359375,2.26953125,2.2734375,2.310546875,2489600.0,2.10219144821167
