Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,9.625,9.375,9.5625,9.46875,11339200.0,6.385525226593018
2000-01-04,9.84375,9.375,9.40625,9.78125,17990600.0,6.5962677001953125
2000-01-05,10.09375,9.6875,9.71875,9.9375,15291000.0,6.701638698577881
2000-01-06,9.9375,9.28125,9.9375,9.5625,17686400.0,6.448747158050537
2000-01-07,9.625,9.34375,9.5,9.46875,13358200.0,6.385525226593018
2000-01-10,9.46875,9.21875,9.46875,9.21875,8824000.0,6.2169270515441895
2000-01-11,9.25,8.90625,8.96875,9.15625,9792600.0,6.17478084564209
2000-01-12,9.53125,9.125,9.125,9.28125,6635800.0,6.2590765953063965
2000-01-13,9.59375,9.15625,9.3125,9.5,11179800.0,6.4065985679626465
2000-01-14,9.5625,9.125,9.53125,9.21875,6856800.0,6.2169270515441895
2000-01-18,9.3125,8.8125,9.3125,9.0,9452200.0,6.069410800933838
2000-01-19,9.09375,8.875,9.0,9.0,5676200.0,6.069410800933838
2000-01-20,9.03125,8.59375,9.03125,8.6875,7137800.0,5.85866641998291
2000-01-21,8.71875,8.34375,8.71875,8.40625,8151000.0,5.668996334075928
2000-01-24,8.5625,8.03125,8.5,8.15625,11600200.0,5.500401973724365
2000-01-25,8.125,7.90625,8.09375,8.0625,7716600.0,5.4371795654296875
2000-01-26,8.40625,8.03125,8.03125,8.25,13237000.0,5.563624382019043
2000-01-27,8.84375,8.40625,8.4375,8.46875,14937000.0,5.71114444732666
2000-01-28,8.5625,8.28125,8.40625,8.28125,8821200.0,5.584700584411621
2000-01-31,8.8125,8.40625,8.46875,8.6875,8737600.0,5.85866641998291
2000-02-01,8.875,8.59375,8.71875,8.875,6502000.0,5.985112190246582
2000-02-02,9.125,8.65625,8.84375,9.09375,7734200.0,6.132632255554199
2000-02-03,9.25,8.8125,9.125,9.0,11771600.0,6.069410800933838
2000-02-04,8.90625,8.46875,8.875,8.8125,8523000.0,5.942963600158691
2000-02-07,8.75,8.4375,8.46875,8.46875,5190200.0,5.71114444732666
2000-02-08,8.90625,8.5,8.5625,8.90625,6891400.0,6.00618314743042
2000-02-09,8.8125,8.46875,8.8125,8.5,5223600.0,5.732219696044922
2000-02-10,8.6875,7.96875,8.5,8.09375,10187400.0,5.458254337310791
2000-02-11,8.46875,8.125,8.21875,8.375,8325200.0,5.647922992706299
2000-02-14,8.25,7.9375,8.21875,8.1875,7594200.0,5.521477222442627
2000-02-15,8.625,8.0625,8.15625,8.5,7580000.0,5.732219696044922
2000-02-16,8.5,8.09375,8.40625,8.40625,5244400.0,5.668996334075928
2000-02-17,8.3125,7.90625,8.25,7.96875,7695000.0,5.37395715713501
2000-02-18,7.96875,7.5,7.9375,7.5,8752400.0,5.057840824127197
2000-02-22,7.75,7.5,7.53125,7.59375,7441800.0,5.121063709259033
2000-02-23,7.6875,7.4375,7.53125,7.53125,9155800.0,5.078913688659668
2000-02-24,7.625,7.1875,7.59375,7.375,8360400.0,4.973543167114258
2000-02-25,7.3125,7.03125,7.1875,7.09375,13766200.0,4.783873558044434
2000-02-28,7.6875,7.28125,7.5,7.5625,9052800.0,5.099989891052246
2000-02-29,7.65625,7.375,7.5625,7.46875,9811600.0,5.03676700592041
2000-03-01,7.53125,7.3125,7.46875,7.40625,6097000.0,4.994616985321045
2000-03-02,7.46875,7.25,7.46875,7.28125,6579800.0,4.91032075881958
2000-03-03,7.53125,7.34375,7.4375,7.375,9071400.0,4.973543167114258
2000-03-06,7.625,7.3125,7.46875,7.46875,6285200.0,5.03676700592041
2000-03-07,7.46875,7.25,7.4375,7.375,7321200.0,4.973543167114258
2000-03-08,7.75,7.125,7.34375,7.6875,11982000.0,5.184285640716553
2000-03-09,7.65625,7.25,7.65625,7.40625,9740600.0,4.994616985321045
2000-03-10,7.5625,7.28125,7.40625,7.375,8901800.0,4.973543167114258
2000-03-13,7.5,7.25,7.34375,7.46875,8371400.0,5.03676700592041
2000-03-14,7.46875,7.1875,7.4375,7.21875,17360800.0,4.868172645568848
2000-03-15,7.5,7.03125,7.21875,7.4375,16044000.0,5.015692234039307
2000-03-16,7.84375,7.4375,7.5,7.78125,19580000.0,5.24751091003418
2000-03-17,8.75,7.875,7.90625,8.34375,24912800.0,5.626847267150879
2000-03-20,8.46875,7.96875,8.34375,8.03125,6327600.0,5.416104316711426
2000-03-21,8.5,7.90625,8.0,8.3125,6636200.0,5.605774879455566
2000-03-22,8.71875,8.375,8.40625,8.59375,6431600.0,5.795443058013916
2000-03-23,8.78125,8.1875,8.625,8.3125,6318600.0,5.605774879455566
2000-03-24,9.125,8.3125,8.3125,8.9375,10621400.0,6.027262210845947
2000-03-27,8.90625,8.65625,8.875,8.71875,4420000.0,5.879740238189697
2000-03-28,9.09375,8.5,8.5,8.625,6712800.0,5.816518306732178
2000-03-29,8.875,8.65625,8.65625,8.84375,6470000.0,5.964036464691162
2000-03-30,9.0625,8.625,8.84375,8.71875,7183800.0,5.879740238189697
2000-03-31,9.03125,8.65625,8.71875,8.78125,6614000.0,5.921889781951904
2000-04-03,9.625,8.875,8.90625,9.4375,11532600.0,6.364450931549072
2000-04-04,10.1875,9.53125,9.625,10.09375,21197600.0,6.807011604309082
2000-04-05,10.25,9.9375,9.9375,10.125,9248000.0,6.828084945678711
2000-04-06,10.4375,9.65625,10.375,9.78125,6015400.0,6.5962677001953125
2000-04-07,9.875,9.53125,9.84375,9.625,5046400.0,6.490898132324219
2000-04-10,9.71875,9.25,9.65625,9.625,4913600.0,6.490898132324219
2000-04-11,10.5625,9.6875,9.75,10.3125,10696800.0,6.954529285430908
2000-04-12,10.96875,10.15625,10.1875,10.6875,14437200.0,7.207427024841309
2000-04-13,10.78125,10.125,10.75,10.15625,7705600.0,6.849159240722656
2000-04-14,10.0625,9.34375,10.0625,9.53125,8515600.0,6.427672386169434
2000-04-17,9.4375,8.90625,9.40625,9.0,9819400.0,6.069410800933838
2000-04-18,8.96875,8.34375,8.5625,8.96875,12547000.0,6.048335075378418
