Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,5.296875,5.1328125,5.296875,5.15625,4096800.0,2.3225436210632324
2000-01-04,5.265625,5.125,5.125,5.25,5487200.0,2.364772081375122
2000-01-05,5.53125,5.203125,5.203125,5.421875,5488800.0,2.4421913623809814
2000-01-06,5.4765625,5.375,5.4296875,5.421875,2960000.0,2.4421913623809814
2000-01-07,5.6015625,5.40625,5.453125,5.578125,7999200.0,2.5125699043273926
2000-01-10,5.5703125,5.4765625,5.5,5.53125,4168000.0,2.4914567470550537
2000-01-11,5.515625,5.4453125,5.484375,5.46875,4122400.0,2.463303804397583
2000-01-12,5.6171875,5.46875,5.46875,5.5859375,6193600.0,2.5160889625549316
2000-01-13,5.6015625,5.5,5.6015625,5.53125,3674400.0,2.4914567470550537
2000-01-14,5.546875,5.390625,5.515625,5.4296875,4070400.0,2.4457099437713623
2000-01-18,5.3984375,5.25,5.3984375,5.296875,5408000.0,2.3858864307403564
2000-01-19,5.5,5.3046875,5.3046875,5.421875,3433600.0,2.4421913623809814
2000-01-20,5.390625,5.2734375,5.359375,5.359375,5560000.0,2.4140384197235107
2000-01-21,5.5234375,5.3359375,5.390625,5.5,4039200.0,2.4773812294006348
2000-01-24,5.6484375,5.453125,5.5390625,5.46875,6968800.0,2.463303804397583
2000-01-25,5.5234375,5.234375,5.4921875,5.28125,6890400.0,2.3788487911224365
2000-01-26,5.3203125,5.203125,5.3125,5.296875,4121600.0,2.3858864307403564
2000-01-27,5.3125,5.15625,5.25,5.1875,3752800.0,2.3366198539733887
2000-01-28,5.2421875,5.1328125,5.1875,5.1640625,4688000.0,2.3260624408721924
2000-01-31,5.2734375,5.1640625,5.1953125,5.2734375,2659200.0,2.3753292560577393
2000-02-01,5.25,5.1640625,5.2265625,5.1640625,2516000.0,2.3260624408721924
2000-02-02,5.234375,5.1640625,5.1953125,5.1953125,5120000.0,2.340139627456665
2000-02-03,5.3984375,5.171875,5.1953125,5.359375,7605600.0,2.4140384197235107
2000-02-04,5.359375,5.1328125,5.359375,5.203125,4384800.0,2.343658924102783
2000-02-07,5.2578125,5.203125,5.203125,5.2109375,4015200.0,2.347177267074585
2000-02-08,5.2890625,5.203125,5.25,5.2265625,3130400.0,2.354215383529663
2000-02-09,5.2421875,5.125,5.1953125,5.15625,5622400.0,2.3225436210632324
2000-02-10,5.1953125,5.015625,5.1484375,5.0390625,3177600.0,2.269759178161621
2000-02-11,5.109375,5.03125,5.0703125,5.109375,2848800.0,2.3014307022094727
2000-02-14,5.171875,5.0625,5.078125,5.09375,2068800.0,2.29439115524292
2000-02-15,5.1328125,5.0625,5.0703125,5.109375,3612800.0,2.3014307022094727
2000-02-16,5.171875,5.0859375,5.109375,5.1171875,7360000.0,2.304948091506958
2000-02-17,5.140625,5.0703125,5.1328125,5.125,5864000.0,2.308467388153076
2000-02-18,5.1328125,5.015625,5.109375,5.0390625,10255200.0,2.269759178161621
2000-02-22,5.1484375,5.0625,5.0625,5.109375,4006400.0,2.3014307022094727
2000-02-23,5.0625,4.90625,5.0078125,5.0234375,18380000.0,2.293015718460083
2000-02-24,4.96875,4.671875,4.9609375,4.75,6168000.0,2.1682004928588867
