Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,20.8125,19.75,20.75,20.125,574100.0,14.180374145507812
2000-01-04,20.0625,18.875,20.0,19.375,646800.0,13.651908874511719
2000-01-05,19.8125,19.375,19.4375,19.4375,622800.0,13.695943832397461
2000-01-06,20.25,19.5625,20.0625,19.75,583600.0,13.916138648986816
2000-01-07,20.0625,19.125,19.625,19.5,949500.0,13.739984512329102
2000-01-10,20.0,19.0625,19.5,19.0625,1067900.0,13.431715965270996
2000-01-11,19.6875,19.25,19.375,19.3125,1181500.0,13.60787296295166
2000-01-12,19.75,19.25,19.375,19.3125,709000.0,13.60787296295166
2000-01-13,19.375,19.0,19.3125,19.125,813500.0,13.475754737854004
2000-01-14,19.375,18.75,19.3125,18.875,937800.0,13.299601554870605
2000-01-18,18.875,18.25,18.625,18.5625,691400.0,13.079411506652832
2000-01-19,18.6875,18.3125,18.5625,18.375,642000.0,12.947290420532227
2000-01-20,18.375,17.375,18.375,17.625,858700.0,12.418832778930664
2000-01-21,18.25,17.6875,18.0,17.875,1121300.0,12.594995498657227
2000-01-24,18.3125,17.65625,17.875,17.9375,651600.0,12.639022827148438
2000-01-25,18.4375,17.625,17.875,18.0,835000.0,12.683059692382812
2000-01-26,18.375,17.75,18.0,17.8125,526000.0,12.550948143005371
2000-01-27,18.1875,17.6875,17.8125,17.9375,501700.0,12.639022827148438
2000-01-28,17.9375,17.4375,17.875,17.4375,476100.0,12.28671646118164
2000-01-31,18.125,17.375,17.4375,17.625,668900.0,12.418832778930664
2000-02-01,18.5,17.5,17.5,18.4375,746000.0,12.991333961486816
2000-02-02,18.375,17.4375,18.25,17.5,1205500.0,12.330760955810547
2000-02-03,19.6875,17.125,17.625,19.625,2110800.0,13.82806396484375
2000-02-04,20.6875,20.125,20.625,20.125,1715100.0,14.180374145507812
2000-02-07,20.1875,20.0,20.1875,20.1875,577100.0,14.224414825439453
2000-02-08,20.0,19.125,20.0,19.375,710700.0,13.651908874511719
2000-02-09,19.4375,18.75,19.375,19.1875,763500.0,13.519803047180176
2000-02-10,19.6875,19.125,19.1875,19.375,450400.0,13.651908874511719
2000-02-11,19.4375,18.5625,19.375,18.6875,492800.0,13.167487144470215
2000-02-14,19.125,18.5625,19.0,18.9375,735400.0,13.343640327453613
2000-02-15,20.0,18.9375,19.0,20.0,1031700.0,14.092291831970215
2000-02-16,20.0,19.375,20.0,19.5625,464200.0,13.78402042388916
2000-02-17,20.375,19.5625,19.625,20.25,618800.0,14.268440246582031
2000-02-18,20.1875,19.5625,20.0625,19.8125,723800.0,13.960182189941406
2000-02-22,20.0,19.6875,19.9375,19.875,542000.0,14.004217147827148
2000-02-23,20.125,19.375,20.125,20.0,888100.0,14.092291831970215
2000-02-24,19.75,19.0,19.75,19.1875,620900.0,13.61168098449707
2000-02-25,19.75,18.9375,19.375,19.0625,931400.0,13.522994995117188
2000-02-28,19.5625,19.0625,19.0625,19.125,637300.0,13.567334175109863
2000-02-29,19.5,19.0,19.5,19.125,551900.0,13.567334175109863
2000-03-01,19.625,19.125,19.625,19.375,488300.0,13.744685173034668
2000-03-02,19.6875,18.8125,19.375,19.0625,629600.0,13.522994995117188
2000-03-03,20.5,18.875,18.9375,19.9375,610900.0,14.143723487854004
2000-03-06,19.8125,18.9375,19.6875,19.0625,496600.0,13.522994995117188
2000-03-07,19.3125,18.5625,19.3125,18.8125,703800.0,13.345645904541016
2000-03-08,19.28125,18.3125,18.8125,18.75,1095500.0,13.301307678222656
2000-03-09,19.125,18.375,18.5,18.875,422100.0,13.389982223510742
2000-03-10,19.375,18.875,19.125,18.9375,554900.0,13.434321403503418
2000-03-13,19.125,18.5,18.75,19.125,415200.0,13.567334175109863
2000-03-14,19.25,18.6875,19.0,18.8125,811900.0,13.345645904541016
2000-03-15,20.9375,18.8125,19.0,20.625,729700.0,14.631446838378906
2000-03-16,23.0,20.625,20.625,22.875,965300.0,16.22759437561035
2000-03-17,22.8125,21.5,22.75,21.75,786000.0,15.429520606994629
2000-03-20,22.375,21.6875,21.875,21.875,392800.0,15.518186569213867
2000-03-21,22.4375,21.8125,21.875,22.25,458100.0,15.784226417541504
2000-03-22,22.375,21.25,22.375,21.375,545100.0,15.163487434387207
2000-03-23,22.3125,21.6875,22.125,21.9375,954300.0,15.562530517578125
2000-03-24,22.875,21.9375,22.5,22.3125,1362700.0,15.828553199768066
2000-03-27,22.5,21.8125,22.3125,21.9375,1028100.0,15.562530517578125
2000-03-28,22.4375,21.625,21.9375,22.3125,605100.0,15.828553199768066
2000-03-29,22.4375,22.0,22.25,22.1875,703700.0,15.739882469177246
2000-03-30,22.25,21.625,21.875,21.9375,962700.0,15.562530517578125
2000-03-31,22.5,21.9375,22.0625,22.125,681700.0,15.695542335510254
2000-04-03,22.5,21.875,21.9375,22.25,571900.0,15.784226417541504
2000-04-04,22.625,21.1875,22.0625,22.0625,838500.0,15.651206016540527
2000-04-05,23.75,21.9375,22.0,23.5625,1296600.0,16.715314865112305
2000-04-06,24.9375,23.6875,24.0,23.9375,1083000.0,16.981338500976562
2000-04-07,24.0,23.375,24.0,23.375,431000.0,16.582304000854492
2000-04-10,24.75,23.5625,23.625,24.625,378300.0,17.46905517578125
2000-04-11,25.625,24.5625,24.625,25.1875,1005200.0,17.86808967590332
2000-04-12,27.625,25.1875,25.1875,26.875,1411000.0,19.065217971801758
2000-04-13,26.8125,26.1875,26.8125,26.25,1121500.0,18.621835708618164
2000-04-14,26.125,25.125,26.0625,25.3125,565700.0,17.95676612854004
2000-04-17,26.1875,25.0,25.4375,26.1875,727000.0,18.577491760253906
2000-04-18,26.25,25.0625,26.1875,25.25,533600.0,17.912433624267578
2000-04-19,25.875,24.875,25.875,25.0,413700.0,17.73508071899414
2000-04-20,26.0,24.625,24.625,25.875,511300.0,18.355804443359375
2000-04-24,26.9375,25.5,26.3125,26.125,392200.0,18.533159255981445
2000-04-25,27.375,26.0,27.0,27.0,759800.0,19.153892517089844
2000-04-26,26.375,25.5,26.0,25.9375,589600.0,18.400144577026367
2000-04-27,26.25,25.125,25.8125,25.25,761100.0,17.912433624267578
2000-04-28,25.3125,24.75,25.1875,24.875,921100.0,17.646408081054688
2000-05-01,25.75,24.9375,25.0,25.4375,569500.0,18.045446395874023
2000-05-02,26.25,24.875,25.3125,26.0,541900.0,18.444482803344727
2000-05-03,25.8125,24.9375,25.8125,25.0,483500.0,17.73508071899414
2000-05-04,25.5625,24.6875,25.125,24.75,360600.0,17.557723999023438
2000-05-05,25.25,24.875,24.875,25.1875,327200.0,17.86808967590332
2000-05-08,25.1875,24.875,25.0625,25.0625,184100.0,17.779420852661133
2000-05-09,25.125,24.3125,25.0625,24.4375,432100.0,17.336040496826172
2000-05-10,25.0,24.25,24.6875,24.3125,741700.0,17.247364044189453
2000-05-11,25.125,24.5625,24.5625,25.0,356800.0,17.73508071899414
2000-05-12,24.9375,24.4375,24.75,24.6875,533400.0,17.51339340209961
2000-05-15,26.125,24.5,24.5,26.0,536800.0,18.444482803344727
2000-05-16,27.0,25.8125,26.125,27.0,702900.0,19.153892517089844
2000-05-17,26.875,26.0625,26.75,26.5625,673900.0,18.843521118164062
2000-05-18,26.625,26.0,26.625,26.3125,559900.0,18.666170120239258
2000-05-19,26.0,25.0,26.0,25.375,542900.0,18.001102447509766
2000-05-22,26.375,25.6875,25.8125,26.375,405700.0,18.71051597595215
2000-05-23,26.5,25.8125,26.125,26.25,361000.0,18.621835708618164
2000-05-24,26.5,24.75,26.25,25.0,673100.0,17.826757431030273
2000-05-25,25.0625,23.5,24.8125,24.0,799100.0,17.113685607910156
2000-05-26,24.25,23.0,24.25,23.3125,560800.0,16.623449325561523
2000-05-30,23.8125,23.375,23.5625,23.5,835600.0,16.757156372070312
2000-05-31,23.875,23.1875,23.625,23.25,419100.0,16.578886032104492
2000-06-01,24.0625,23.3125,23.5,24.0,331900.0,17.113685607910156
2000-06-02,25.25,24.4375,24.5,24.9375,459700.0,17.782194137573242
2000-06-05,25.375,24.6875,24.6875,25.25,435500.0,18.005033493041992
2000-06-06,25.4375,24.75,25.375,25.0,480600.0,17.826757431030273
2000-06-07,25.3125,24.75,24.9375,24.75,1089100.0,17.648487091064453
2000-06-08,25.0,24.25,24.6875,24.3125,313500.0,17.336519241333008
2000-06-09,24.625,24.0,24.375,24.125,392000.0,17.202821731567383
2000-06-12,24.25,23.5625,24.1875,23.625,600000.0,16.84630012512207
2000-06-13,23.5625,22.75,23.375,23.5,604700.0,16.757156372070312
2000-06-14,24.5,23.75,23.75,23.75,770700.0,16.935426712036133
2000-06-15,23.4375,23.0,23.125,23.125,1057200.0,16.48975372314453
2000-06-16,23.0,22.5,23.0,22.9375,855200.0,16.356054306030273
2000-06-19,23.125,22.75,22.9375,23.0625,1136700.0,16.44518280029297
2000-06-20,23.0625,22.5,23.0,22.5625,464500.0,16.088651657104492
2000-06-21,22.75,22.1875,22.75,22.4375,490600.0,15.999516487121582
2000-06-22,22.6875,22.1875,22.4375,22.3125,374500.0,15.910378456115723
2000-06-23,22.5625,21.8125,22.375,21.875,571400.0,15.598406791687012
2000-06-26,22.375,21.6875,22.25,21.9375,549200.0,15.642980575561523
2000-06-27,22.75,22.0,22.0,22.25,487100.0,15.865818977355957
2000-06-28,22.75,21.875,22.4375,22.015625,601600.0,15.698686599731445
2000-06-29,22.5,21.75,21.9375,21.75,533500.0,15.50927734375
2000-06-30,22.125,21.171875,21.875,21.1875,764000.0,15.10817813873291
2000-07-03,22.4375,21.1875,21.1875,22.4375,342900.0,15.999516487121582
2000-07-05,22.6875,21.625,22.25,21.75,432200.0,15.50927734375
2000-07-06,22.3125,21.875,22.0,21.9375,439300.0,15.642980575561523
2000-07-07,22.5,21.875,22.0,22.375,545700.0,15.954946517944336
2000-07-10,22.6875,21.875,22.3125,22.1875,355100.0,15.82125473022461
2000-07-11,23.0625,21.75,22.0,22.875,605400.0,16.311485290527344
2000-07-12,23.25,22.8125,23.1875,23.0,588500.0,16.400615692138672
2000-07-13,23.3125,22.625,23.0,22.75,295900.0,16.222347259521484
